recommendation,noAutoWaivers,priority,status,owner,source,batchId,pendingItems,dependsOn,unmetDependencies,lanes,cutoverChecklistIds,commands,expectedArtifacts,envCheckGroups,exitCriteria,itemIds
NO_GO_STRICT,true,P1,BLOCKED,file-owner,business-e2e,p1-business-e2e-file-owner,1,"p0-release-env-lint-release-infra;p0-release-config-ai-owner;p0-release-config-payment-owner;p0-release-config-platform-events;p0-release-config-platform-owners;p0-release-config-release-infra;p0-docker-release-infra",,business-acceptance,runtime-business-acceptance,node scripts/ddd-file-processing-e2e-smoke.mjs,artifacts/ddd/file/file-processing-e2e.json,"BASE_URL=BASE_URL;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE=DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE;LUMIRA_BASE_URL=DEPLOY_CHECK_BASE_URL|LUMIRA_BASE_URL;SAAS_JOB_INTERNAL_TOKEN=DDD_JOB_INTERNAL_TOKEN|LUMIRA_JOB_INTERNAL_TOKEN|SAAS_JOB_INTERNAL_TOKEN;UPLOAD_STORAGE_ROOT=LUMIRA_UPLOAD_STORAGE_ROOT|UPLOAD_STORAGE_ROOT","File, Job, and Payment business E2E artifacts are generated from HTTPS non-local runtime endpoints.;Owner-specific task/webhook/job contract checks pass with production-equivalence metadata.",file-processing-production-equivalence
NO_GO_STRICT,true,P1,BLOCKED,file-owner,rollback,p1-rollback-file-owner,1,"p0-release-env-lint-release-infra;p0-release-config-ai-owner;p0-release-config-payment-owner;p0-release-config-platform-events;p0-release-config-platform-owners;p0-release-config-release-infra;p0-docker-release-infra",,rollback-safety,rollback-safety,"node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs",artifacts/ddd/rollback/rollback-drill.json,"DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,File
NO_GO_STRICT,true,P1,BLOCKED,frontend,frontend-smoke,p1-frontend-smoke-frontend,1,"p0-release-env-lint-release-infra;p0-release-config-ai-owner;p0-release-config-payment-owner;p0-release-config-platform-events;p0-release-config-platform-owners;p0-release-config-release-infra;p0-docker-release-infra",,frontend-acceptance,runtime-business-acceptance,"node scripts/ddd-frontend-playwright-smoke.mjs;node scripts/ddd-frontend-smoke-evidence.mjs","artifacts/ddd/frontend/frontend-smoke.json;artifacts/ddd/frontend/playwright-smoke-results.json",DDD_FRONTEND_EXPECT_DEPLOYED=DDD_FRONTEND_EXPECT_DEPLOYED,"Frontend smoke runs against a deployed HTTPS frontend with DDD_FRONTEND_EXPECT_DEPLOYED=true.;Required Playwright smoke flows all pass and produce a JSON report.",frontend-deployed-expectation
NO_GO_STRICT,true,P1,BLOCKED,iam-owner,rollback,p1-rollback-iam-owner,1,"p0-release-env-lint-release-infra;p0-release-config-ai-owner;p0-release-config-payment-owner;p0-release-config-platform-events;p0-release-config-platform-owners;p0-release-config-release-infra;p0-docker-release-infra",,rollback-safety,rollback-safety,"node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs",artifacts/ddd/rollback/rollback-drill.json,"DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,IAM
NO_GO_STRICT,true,P1,BLOCKED,job-owner,business-e2e,p1-business-e2e-job-owner,1,"p0-release-env-lint-release-infra;p0-release-config-ai-owner;p0-release-config-payment-owner;p0-release-config-platform-events;p0-release-config-platform-owners;p0-release-config-release-infra;p0-docker-release-infra",,business-acceptance,runtime-business-acceptance,node scripts/ddd-job-e2e-smoke.mjs,artifacts/ddd/jobs/job-e2e-smoke.json,"BASE_URL=BASE_URL;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE=DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE;LUMIRA_BASE_URL=DEPLOY_CHECK_BASE_URL|LUMIRA_BASE_URL;SAAS_JOB_INTERNAL_TOKEN=DDD_JOB_INTERNAL_TOKEN|LUMIRA_JOB_INTERNAL_TOKEN|SAAS_JOB_INTERNAL_TOKEN","File, Job, and Payment business E2E artifacts are generated from HTTPS non-local runtime endpoints.;Owner-specific task/webhook/job contract checks pass with production-equivalence metadata.",job-e2e-production-equivalence
NO_GO_STRICT,true,P1,BLOCKED,job-owner,rollback,p1-rollback-job-owner,1,"p0-release-env-lint-release-infra;p0-release-config-ai-owner;p0-release-config-payment-owner;p0-release-config-platform-events;p0-release-config-platform-owners;p0-release-config-release-infra;p0-docker-release-infra",,rollback-safety,rollback-safety,"node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs",artifacts/ddd/rollback/rollback-drill.json,"DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,Job
NO_GO_STRICT,true,P1,BLOCKED,localization-owner,rollback,p1-rollback-localization-owner,1,"p0-release-env-lint-release-infra;p0-release-config-ai-owner;p0-release-config-payment-owner;p0-release-config-platform-events;p0-release-config-platform-owners;p0-release-config-release-infra;p0-docker-release-infra",,rollback-safety,rollback-safety,"node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs",artifacts/ddd/rollback/rollback-drill.json,"DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,Localization
NO_GO_STRICT,true,P1,BLOCKED,message-owner,rollback,p1-rollback-message-owner,1,"p0-release-env-lint-release-infra;p0-release-config-ai-owner;p0-release-config-payment-owner;p0-release-config-platform-events;p0-release-config-platform-owners;p0-release-config-release-infra;p0-docker-release-infra",,rollback-safety,rollback-safety,"node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs",artifacts/ddd/rollback/rollback-drill.json,"DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,Message
NO_GO_STRICT,true,P1,BLOCKED,payment-owner,business-e2e,p1-business-e2e-payment-owner,1,"p0-release-env-lint-release-infra;p0-release-config-ai-owner;p0-release-config-payment-owner;p0-release-config-platform-events;p0-release-config-platform-owners;p0-release-config-release-infra;p0-docker-release-infra",,business-acceptance,runtime-business-acceptance,node scripts/ddd-payment-webhook-e2e-smoke.mjs,artifacts/ddd/payment/payment-webhook-e2e.json,"BASE_URL=BASE_URL;DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE=DDD_BUSINESS_E2E_DEPLOYMENT_EVIDENCE;LUMIRA_BASE_URL=DEPLOY_CHECK_BASE_URL|LUMIRA_BASE_URL;PAYMENT_PUBLIC_BASE_URL=PAYMENT_PUBLIC_BASE_URL","File, Job, and Payment business E2E artifacts are generated from HTTPS non-local runtime endpoints.;Owner-specific task/webhook/job contract checks pass with production-equivalence metadata.",payment-webhook-production-equivalence
NO_GO_STRICT,true,P1,BLOCKED,payment-owner,rollback,p1-rollback-payment-owner,1,"p0-release-env-lint-release-infra;p0-release-config-ai-owner;p0-release-config-payment-owner;p0-release-config-platform-events;p0-release-config-platform-owners;p0-release-config-release-infra;p0-docker-release-infra",,rollback-safety,rollback-safety,"node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs",artifacts/ddd/rollback/rollback-drill.json,"DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,Payment
NO_GO_STRICT,true,P1,BLOCKED,platform-owner,rollback,p1-rollback-platform-owner,1,"p0-release-env-lint-release-infra;p0-release-config-ai-owner;p0-release-config-payment-owner;p0-release-config-platform-events;p0-release-config-platform-owners;p0-release-config-release-infra;p0-docker-release-infra",,rollback-safety,rollback-safety,"node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs",artifacts/ddd/rollback/rollback-drill.json,"DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,Platform
NO_GO_STRICT,true,P1,BLOCKED,plugin-owner,rollback,p1-rollback-plugin-owner,1,"p0-release-env-lint-release-infra;p0-release-config-ai-owner;p0-release-config-payment-owner;p0-release-config-platform-events;p0-release-config-platform-owners;p0-release-config-release-infra;p0-docker-release-infra",,rollback-safety,rollback-safety,"node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs",artifacts/ddd/rollback/rollback-drill.json,"DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,Plugin
NO_GO_STRICT,true,P2,BLOCKED,database,explain,p2-explain-database,6,"p0-release-env-lint-release-infra;p0-release-config-ai-owner;p0-release-config-payment-owner;p0-release-config-platform-events;p0-release-config-platform-owners;p0-release-config-release-infra;p0-docker-release-infra;p1-ai-runtime-ai;p1-frontend-smoke-frontend;p1-business-e2e-file-owner;p1-business-e2e-job-owner;p1-business-e2e-payment-owner;p1-rollback-ai-owner;p1-rollback-auth-owner;p1-rollback-file-owner;p1-rollback-iam-owner;p1-rollback-job-owner;p1-rollback-localization-owner;p1-rollback-message-owner;p1-rollback-payment-owner;p1-rollback-platform-owner;p1-rollback-plugin-owner","p1-ai-runtime-ai;p1-frontend-smoke-frontend;p1-business-e2e-file-owner;p1-business-e2e-job-owner;p1-business-e2e-payment-owner;p1-rollback-ai-owner;p1-rollback-auth-owner;p1-rollback-file-owner;p1-rollback-iam-owner;p1-rollback-job-owner;p1-rollback-localization-owner;p1-rollback-message-owner;p1-rollback-payment-owner;p1-rollback-platform-owner;p1-rollback-plugin-owner",database-performance,database-performance,"node scripts/ddd-collect-explain.mjs;DDD_EXPLAIN_STRICT=true node scripts/ddd-explain-gate.mjs","tmp/ddd-explain/*.json;artifacts/ddd/release/explain-gate-report.json","DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_EXPLAIN_DATABASE=DDD_EXPLAIN_DATABASE;DDD_EXPLAIN_DIR=DDD_EXPLAIN_DIR;DDD_EXPLAIN_ENVIRONMENT=DDD_EXPLAIN_ENVIRONMENT;DDD_EXPLAIN_STRICT=DDD_EXPLAIN_STRICT;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;MYSQL_CLI=MYSQL_CLI;MYSQL_DATABASE=MYSQL_DATABASE;MYSQL_HOST=MYSQL_HOST;DB_PASSWORD=DB_PASSWORD|MYSQL_PASSWORD|SPRING_DATASOURCE_PASSWORD;MYSQL_PORT=MYSQL_PORT;DB_USERNAME=DB_USERNAME|MYSQL_USER|SPRING_DATASOURCE_USERNAME","Production-equivalent MySQL EXPLAIN artifacts are freshly collected for every required hot path.;Strict explain gate has no full scans, legacy imports, missing indexes, or contract issues.","ai-knowledge-index-retry.json;message-visible-list.json;platform-outbox-owner-relay-file.json;platform-outbox-owner-relay-message.json;platform-runtime-appearance.json;plugin-bootstrap.json"
NO_GO_STRICT,true,P3,BLOCKED,database,orchestrator,p3-orchestrator-database,1,"p0-release-env-lint-release-infra;p0-release-config-ai-owner;p0-release-config-payment-owner;p0-release-config-platform-events;p0-release-config-platform-owners;p0-release-config-release-infra;p0-docker-release-infra;p1-ai-runtime-ai;p1-frontend-smoke-frontend;p1-business-e2e-file-owner;p1-business-e2e-job-owner;p1-business-e2e-payment-owner;p1-rollback-ai-owner;p1-rollback-auth-owner;p1-rollback-file-owner;p1-rollback-iam-owner;p1-rollback-job-owner;p1-rollback-localization-owner;p1-rollback-message-owner;p1-rollback-payment-owner;p1-rollback-platform-owner;p1-rollback-plugin-owner;p2-explain-database","p1-ai-runtime-ai;p1-frontend-smoke-frontend;p1-business-e2e-file-owner;p1-business-e2e-job-owner;p1-business-e2e-payment-owner;p1-rollback-ai-owner;p1-rollback-auth-owner;p1-rollback-file-owner;p1-rollback-iam-owner;p1-rollback-job-owner;p1-rollback-localization-owner;p1-rollback-message-owner;p1-rollback-payment-owner;p1-rollback-platform-owner;p1-rollback-plugin-owner;p2-explain-database",final-verification,evidence-integrity,"node scripts/ddd-release-evidence-orchestrator.mjs;DDD_RELEASE_EVIDENCE_STRICT=true node scripts/ddd-release-evidence-orchestrator.mjs --run --strict","artifacts/ddd/release/orchestrator-report.json;artifacts/ddd/release/release-evidence-gate.json;artifacts/ddd/release/readiness-summary.json","DDD_MIGRATION_FRESH_DB_EVIDENCE=DDD_MIGRATION_FRESH_DB_EVIDENCE;DDD_MIGRATION_FRESH_DB_VALIDATED=DDD_MIGRATION_FRESH_DB_VALIDATED;DDD_MIGRATION_UPGRADE_DB_EVIDENCE=DDD_MIGRATION_UPGRADE_DB_EVIDENCE;DDD_MIGRATION_UPGRADE_DB_VALIDATED=DDD_MIGRATION_UPGRADE_DB_VALIDATED","Rerun release evidence orchestrator in strict run mode after P0/P1/P2 batches are clean.;Final strict release gate and readiness summary report zero blockers.;Run only after all prerequisite evidence batches are clean.",orchestrator-preflight-migration-runtime-evidence
NO_GO_STRICT,true,P3,BLOCKED,frontend,orchestrator,p3-orchestrator-frontend,1,"p0-release-env-lint-release-infra;p0-release-config-ai-owner;p0-release-config-payment-owner;p0-release-config-platform-events;p0-release-config-platform-owners;p0-release-config-release-infra;p0-docker-release-infra;p1-ai-runtime-ai;p1-frontend-smoke-frontend;p1-business-e2e-file-owner;p1-business-e2e-job-owner;p1-business-e2e-payment-owner;p1-rollback-ai-owner;p1-rollback-auth-owner;p1-rollback-file-owner;p1-rollback-iam-owner;p1-rollback-job-owner;p1-rollback-localization-owner;p1-rollback-message-owner;p1-rollback-payment-owner;p1-rollback-platform-owner;p1-rollback-plugin-owner;p2-explain-database","p1-ai-runtime-ai;p1-frontend-smoke-frontend;p1-business-e2e-file-owner;p1-business-e2e-job-owner;p1-business-e2e-payment-owner;p1-rollback-ai-owner;p1-rollback-auth-owner;p1-rollback-file-owner;p1-rollback-iam-owner;p1-rollback-job-owner;p1-rollback-localization-owner;p1-rollback-message-owner;p1-rollback-payment-owner;p1-rollback-platform-owner;p1-rollback-plugin-owner;p2-explain-database",final-verification,evidence-integrity,"node scripts/ddd-release-evidence-orchestrator.mjs;DDD_RELEASE_EVIDENCE_STRICT=true node scripts/ddd-release-evidence-orchestrator.mjs --run --strict","artifacts/ddd/release/orchestrator-report.json;artifacts/ddd/release/release-evidence-gate.json;artifacts/ddd/release/readiness-summary.json",PLAYWRIGHT_BASE_URL=FRONTEND_BASE_URL|PLAYWRIGHT_BASE_URL,"Rerun release evidence orchestrator in strict run mode after P0/P1/P2 batches are clean.;Final strict release gate and readiness summary report zero blockers.;Run only after all prerequisite evidence batches are clean.",orchestrator-preflight-frontend-runtime-base-url
NO_GO_STRICT,true,P3,BLOCKED,release-owner,orchestrator,p3-orchestrator-release-owner,1,"p0-release-env-lint-release-infra;p0-release-config-ai-owner;p0-release-config-payment-owner;p0-release-config-platform-events;p0-release-config-platform-owners;p0-release-config-release-infra;p0-docker-release-infra;p1-ai-runtime-ai;p1-frontend-smoke-frontend;p1-business-e2e-file-owner;p1-business-e2e-job-owner;p1-business-e2e-payment-owner;p1-rollback-ai-owner;p1-rollback-auth-owner;p1-rollback-file-owner;p1-rollback-iam-owner;p1-rollback-job-owner;p1-rollback-localization-owner;p1-rollback-message-owner;p1-rollback-payment-owner;p1-rollback-platform-owner;p1-rollback-plugin-owner;p2-explain-database","p1-ai-runtime-ai;p1-frontend-smoke-frontend;p1-business-e2e-file-owner;p1-business-e2e-job-owner;p1-business-e2e-payment-owner;p1-rollback-ai-owner;p1-rollback-auth-owner;p1-rollback-file-owner;p1-rollback-iam-owner;p1-rollback-job-owner;p1-rollback-localization-owner;p1-rollback-message-owner;p1-rollback-payment-owner;p1-rollback-platform-owner;p1-rollback-plugin-owner;p2-explain-database",final-verification,evidence-integrity,"node scripts/ddd-release-evidence-orchestrator.mjs;DDD_RELEASE_EVIDENCE_STRICT=true node scripts/ddd-release-evidence-orchestrator.mjs --run --strict","artifacts/ddd/release/orchestrator-report.json;artifacts/ddd/release/release-evidence-gate.json;artifacts/ddd/release/readiness-summary.json",DDD_RELEASE_EVIDENCE_STRICT=DDD_RELEASE_EVIDENCE_STRICT,"Rerun release evidence orchestrator in strict run mode after P0/P1/P2 batches are clean.;Final strict release gate and readiness summary report zero blockers.;Run only after all prerequisite evidence batches are clean.",orchestrator-run-mode
